Gene stable ID	Transcript stable ID	Transcript start (bp)	Transcript end (bp)	Chromosome/scaffold name	Gene % GC content	Transcription start site (TSS)	Transcript length (including UTRs and CDS)	Gene name	Strand	Gene start (bp)	Gene end (bp)
ENSG00000131591	ENST00000467751	1017205	1051469	1	54.65	1051469	2099	C1orf159	-1	1017198	1051741
ENSG00000131591	ENST00000464905	1017526	1019452	1	54.65	1019452	650	C1orf159	-1	1017198	1051741
ENSG00000131591	ENST00000379320	1017615	1027554	1	54.65	1027554	2324	C1orf159	-1	1017198	1051741
ENSG00000131591	ENST00000379319	1018080	1041507	1	54.65	1041507	1097	C1orf159	-1	1017198	1051741
ENSG00000131591	ENST00000434641	1018296	1051475	1	54.65	1051475	842	C1orf159	-1	1017198	1051741
ENSG00000131591	ENST00000482816	1019306	1051623	1	54.65	1051623	982	C1orf159	-1	1017198	1051741
ENSG00000131591	ENST00000462097	1022519	1051736	1	54.65	1051736	836	C1orf159	-1	1017198	1051741
ENSG00000131591	ENST00000473600	1022521	1027674	1	54.65	1027674	793	C1orf159	-1	1017198	1051741
ENSG00000131591	ENST00000475119	1022570	1051741	1	54.65	1051741	740	C1orf159	-1	1017198	1051741
ENSG00000131591	ENST00000442117	1022955	1028193	1	54.65	1028193	554	C1orf159	-1	1017198	1051741
ENSG00000131591	ENST00000427787	1025786	1028193	1	54.65	1028193	575	C1orf159	-1	1017198	1051741
ENSG00000131591	ENST00000472741	1026426	1051467	1	54.65	1051467	661	C1orf159	-1	1017198	1051741
ENSG00000131591	ENST00000480643	1026880	1051469	1	54.65	1051469	579	C1orf159	-1	1017198	1051741
ENSG00000131591	ENST00000448924	1017198	1051736	1	54.65	1051736	2650	C1orf159	-1	1017198	1051741
ENSG00000131591	ENST00000294576	1017198	1051736	1	54.65	1051736	2542	C1orf159	-1	1017198	1051741
ENSG00000131591	ENST00000437760	1019834	1051736	1	54.65	1051736	990	C1orf159	-1	1017198	1051741
ENSG00000162571	ENST00000506177	1109264	1110414	1	54.75	1109264	557	TTLL10	1	1109264	1133315
ENSG00000162571	ENST00000379290	1109283	1133315	1	54.75	1109283	2283	TTLL10	1	1109264	1133315
ENSG00000162571	ENST00000379288	1115077	1121244	1	54.75	1115077	2114	TTLL10	1	1109264	1133315
ENSG00000162571	ENST00000460998	1115864	1119307	1	54.75	1115864	718	TTLL10	1	1109264	1133315
ENSG00000162571	ENST00000514695	1115917	1116264	1	54.75	1115917	219	TTLL10	1	1109264	1133315
ENSG00000162571	ENST00000486379	1120416	1132855	1	54.75	1120416	426	TTLL10	1	1109264	1133315
ENSG00000162571	ENST00000379289	1109286	1133313	1	54.75	1109286	2259	TTLL10	1	1109264	1133315
ENSG00000186891	ENST00000328596	1138888	1141951	1	67.46	1141951	851	TNFRSF18	-1	1138888	1142071
ENSG00000186891	ENST00000379268	1138891	1142071	1	67.46	1142071	1179	TNFRSF18	-1	1138888	1142071
ENSG00000186891	ENST00000486728	1139224	1141060	1	67.46	1141060	727	TNFRSF18	-1	1138888	1142071
ENSG00000186891	ENST00000379265	1139224	1141951	1	67.46	1141951	705	TNFRSF18	-1	1138888	1142071
ENSG00000186827	ENST00000379236	1146706	1149512	1	70.39	1149512	1068	TNFRSF4	-1	1146706	1149518
ENSG00000186827	ENST00000497869	1146720	1149518	1	70.39	1149518	1707	TNFRSF4	-1	1146706	1149518
ENSG00000186827	ENST00000453580	1147399	1148878	1	70.39	1148878	393	TNFRSF4	-1	1146706	1149518
ENSG00000078808	ENST00000360001	1152288	1167381	1	61.35	1167381	1956	SDF4	-1	1152288	1167411
ENSG00000078808	ENST00000465727	1152311	1167411	1	61.35	1167411	2095	SDF4	-1	1152288	1167411
ENSG00000078808	ENST00000263741	1152311	1167411	1	61.35	1167411	2079	SDF4	-1	1152288	1167411
ENSG00000078808	ENST00000494748	1152312	1156731	1	61.35	1156731	3516	SDF4	-1	1152288	1167411
ENSG00000078808	ENST00000478938	1152314	1155673	1	61.35	1155673	2591	SDF4	-1	1152288	1167411
ENSG00000078808	ENST00000403997	1153903	1163976	1	61.35	1163976	728	SDF4	-1	1152288	1167411
ENSG00000078808	ENST00000459994	1162652	1167348	1	61.35	1167348	604	SDF4	-1	1152288	1167411
ENSG00000078808	ENST00000545427	1156079	1167370	1	61.35	1167370	861	SDF4	-1	1152288	1167411
ENSG00000176022	ENST00000379198	1167629	1170421	1	64.20	1167629	2793	B3GALT6	1	1167629	1170421
ENSG00000184163	ENST00000462849	1177826	1178843	1	69.35	1178843	682	FAM132A	-1	1177826	1182102
ENSG00000184163	ENST00000478606	1177829	1178538	1	69.35	1178538	522	FAM132A	-1	1177826	1182102
ENSG00000184163	ENST00000330388	1177833	1182102	1	69.35	1182102	1036	FAM132A	-1	1177826	1182102
ENSG00000184163	ENST00000468365	1178646	1179798	1	69.35	1179798	647	FAM132A	-1	1177826	1182102
ENSG00000184163	ENST00000486627	1179361	1180104	1	69.35	1180104	639	FAM132A	-1	1177826	1182102
ENSG00000160087	ENST00000450390	1189289	1209233	1	56.33	1209233	2455	UBE2J2	-1	1189289	1209265
ENSG00000160087	ENST00000349431	1189850	1209265	1	56.33	1209265	1733	UBE2J2	-1	1189289	1209265
ENSG00000160087	ENST00000400929	1190365	1209235	1	56.33	1209235	1057	UBE2J2	-1	1189289	1209265
ENSG00000160087	ENST00000464036	1190428	1209244	1	56.33	1209244	1256	UBE2J2	-1	1189289	1209265
ENSG00000160087	ENST00000360466	1190544	1209106	1	56.33	1209106	1047	UBE2J2	-1	1189289	1209265
ENSG00000160087	ENST00000400930	1190558	1209213	1	56.33	1209213	1021	UBE2J2	-1	1189289	1209265
ENSG00000160087	ENST00000467339	1190644	1191715	1	56.33	1191715	515	UBE2J2	-1	1189289	1209265
ENSG00000160087	ENST00000473215	1190648	1209229	1	56.33	1209229	1028	UBE2J2	-1	1189289	1209265
ENSG00000160087	ENST00000435198	1190775	1209224	1	56.33	1209224	1056	UBE2J2	-1	1189289	1209265
ENSG00000160087	ENST00000509720	1190819	1209207	1	56.33	1209207	472	UBE2J2	-1	1189289	1209265
ENSG00000160087	ENST00000491779	1191429	1209170	1	56.33	1209170	611	UBE2J2	-1	1189289	1209265
ENSG00000160087	ENST00000466752	1192372	1209195	1	56.33	1209195	886	UBE2J2	-1	1189289	1209265
ENSG00000160087	ENST00000503294	1192391	1209213	1	56.33	1209213	814	UBE2J2	-1	1189289	1209265
ENSG00000160087	ENST00000477894	1192429	1209234	1	56.33	1209234	767	UBE2J2	-1	1189289	1209265
ENSG00000160087	ENST00000471154	1192502	1198949	1	56.33	1198949	336	UBE2J2	-1	1189289	1209265
ENSG00000160087	ENST00000422076	1192607	1209217	1	56.33	1209217	643	UBE2J2	-1	1189289	1209265
ENSG00000160087	ENST00000502382	1192650	1209234	1	56.33	1209234	530	UBE2J2	-1	1189289	1209265
ENSG00000160087	ENST00000461142	1198233	1209217	1	56.33	1209217	837	UBE2J2	-1	1189289	1209265
ENSG00000160087	ENST00000488418	1203242	1208851	1	56.33	1208851	750	UBE2J2	-1	1189289	1209265
ENSG00000160087	ENST00000339385	1190285	1201503	1	56.33	1201503	973	UBE2J2	-1	1189289	1209265
ENSG00000160087	ENST00000347370	1189294	1209234	1	56.33	1209234	2387	UBE2J2	-1	1189289	1209265
ENSG00000160087	ENST00000348298	1190285	1209244	1	56.33	1209244	1277	UBE2J2	-1	1189289	1209265
ENSG00000162572	ENST00000379116	1215816	1227399	1	65.93	1215816	3044	SCNN1D	1	1215816	1227409
ENSG00000162572	ENST00000379101	1215852	1226753	1	65.93	1215852	2268	SCNN1D	1	1215816	1227409
ENSG00000162572	ENST00000338555	1215968	1227404	1	65.93	1215968	3475	SCNN1D	1	1215816	1227409
ENSG00000162572	ENST00000470022	1217305	1221548	1	65.93	1217305	645	SCNN1D	1	1215816	1227409
ENSG00000162572	ENST00000325425	1217489	1227404	1	65.93	1217489	2679	SCNN1D	1	1215816	1227409
ENSG00000162572	ENST00000467651	1217544	1220977	1	65.93	1217544	204	SCNN1D	1	1215816	1227409
ENSG00000162572	ENST00000379099	1222489	1226323	1	65.93	1222489	923	SCNN1D	1	1215816	1227409
ENSG00000162572	ENST00000400928	1217576	1227409	1	65.93	1217576	2503	SCNN1D	1	1215816	1227409
ENSG00000131584	ENST00000354700	1227756	1243398	1	67.30	1243398	3896	ACAP3	-1	1227756	1244989
ENSG00000131584	ENST00000492936	1227770	1241309	1	67.30	1241309	5319	ACAP3	-1	1227756	1244989
ENSG00000131584	ENST00000467278	1228250	1234335	1	67.30	1234335	2725	ACAP3	-1	1227756	1244989
ENSG00000131584	ENST00000470659	1229879	1230388	1	67.30	1230388	421	ACAP3	-1	1227756	1244989
ENSG00000131584	ENST00000379037	1231816	1233645	1	67.30	1233645	492	ACAP3	-1	1227756	1244989
ENSG00000131584	ENST00000476572	1231846	1234997	1	67.30	1234997	819	ACAP3	-1	1227756	1244989
ENSG00000131584	ENST00000493992	1233217	1233621	1	67.30	1233621	326	ACAP3	-1	1227756	1244989
ENSG00000131584	ENST00000472541	1234124	1244989	1	67.30	1244989	1946	ACAP3	-1	1227756	1244989
ENSG00000131584	ENST00000354980	1235576	1243201	1	67.30	1243201	582	ACAP3	-1	1227756	1244989
ENSG00000131584	ENST00000478065	1236828	1240281	1	67.30	1240281	2393	ACAP3	-1	1227756	1244989
ENSG00000131584	ENST00000479108	1237236	1243210	1	67.30	1243210	485	ACAP3	-1	1227756	1244989
ENSG00000131584	ENST00000438966	1238590	1243198	1	67.30	1243198	265	ACAP3	-1	1227756	1244989
ENSG00000131584	ENST00000353662	1227764	1243269	1	67.30	1243269	3660	ACAP3	-1	1227756	1244989
ENSG00000169972	ENST00000379031	1243947	1247057	1	66.76	1243947	1287	PUSL1	1	1243947	1247057
ENSG00000169972	ENST00000470520	1243991	1246408	1	66.76	1243991	769	PUSL1	1	1243947	1247057
ENSG00000169972	ENST00000463758	1244168	1245220	1	66.76	1244168	940	PUSL1	1	1243947	1247057
ENSG00000169972	ENST00000467712	1244201	1246449	1	66.76	1244201	877	PUSL1	1	1243947	1247057
ENSG00000169972	ENST00000493657	1244615	1247056	1	66.76	1244615	1783	PUSL1	1	1243947	1247057
ENSG00000127054	ENST00000470030	1246965	1250813	1	60.46	1250813	2369	CPSF3L	-1	1246965	1260071
ENSG00000127054	ENST00000435064	1246977	1260071	1	60.46	1260071	2148	CPSF3L	-1	1246965	1260071
ENSG00000127054	ENST00000497304	1246978	1248080	1	60.46	1248080	932	CPSF3L	-1	1246965	1260071
ENSG00000127054	ENST00000323275	1246980	1260001	1	60.46	1260001	2450	CPSF3L	-1	1246965	1260071
ENSG00000127054	ENST00000411962	1246981	1260053	1	60.46	1260053	1832	CPSF3L	-1	1246965	1260071
ENSG00000127054	ENST00000462432	1246982	1252830	1	60.46	1252830	2863	CPSF3L	-1	1246965	1260071
ENSG00000127054	ENST00000478641	1246986	1250550	1	60.46	1250550	3079	CPSF3L	-1	1246965	1260071
ENSG00000127054	ENST00000421495	1246986	1260017	1	60.46	1260017	1868	CPSF3L	-1	1246965	1260071
ENSG00000127054	ENST00000458452	1246986	1260030	1	60.46	1260030	2571	CPSF3L	-1	1246965	1260071
ENSG00000127054	ENST00000419704	1246986	1260033	1	60.46	1260033	1798	CPSF3L	-1	1246965	1260071
ENSG00000127054	ENST00000532772	1247007	1260008	1	60.46	1260008	1618	CPSF3L	-1	1246965	1260071
ENSG00000127054	ENST00000450926	1247199	1260050	1	60.46	1260050	1839	CPSF3L	-1	1246965	1260071
ENSG00000127054	ENST00000527098	1247203	1260046	1	60.46	1260046	2004	CPSF3L	-1	1246965	1260071
ENSG00000127054	ENST00000485710	1247460	1249205	1	60.46	1249205	883	CPSF3L	-1	1246965	1260071
ENSG00000127054	ENST00000461514	1247640	1249160	1	60.46	1249160	913	CPSF3L	-1	1246965	1260071
ENSG00000127054	ENST00000525164	1247645	1249145	1	60.46	1249145	816	CPSF3L	-1	1246965	1260071
ENSG00000127054	ENST00000528879	1247664	1260028	1	60.46	1260028	1524	CPSF3L	-1	1246965	1260071
ENSG00000127054	ENST00000525769	1247666	1249130	1	60.46	1249130	695	CPSF3L	-1	1246965	1260071
ENSG00000127054	ENST00000531377	1248167	1254726	1	60.46	1254726	816	CPSF3L	-1	1246965	1260071
ENSG00000127054	ENST00000527383	1248319	1250988	1	60.46	1250988	668	CPSF3L	-1	1246965	1260071
ENSG00000127054	ENST00000531292	1248439	1250044	1	60.46	1250044	704	CPSF3L	-1	1246965	1260071
ENSG00000127054	ENST00000467408	1248926	1250981	1	60.46	1250981	639	CPSF3L	-1	1246965	1260071
ENSG00000127054	ENST00000434694	1249125	1260010	1	60.46	1260010	1056	CPSF3L	-1	1246965	1260071
ENSG00000127054	ENST00000531020	1249516	1250521	1	60.46	1250521	548	CPSF3L	-1	1246965	1260071
ENSG00000127054	ENST00000533916	1249693	1251077	1	60.46	1251077	405	CPSF3L	-1	1246965	1260071
ENSG00000127054	ENST00000488042	1249793	1260009	1	60.46	1260009	1134	CPSF3L	-1	1246965	1260071
ENSG00000127054	ENST00000526797	1250206	1260038	1	60.46	1260038	659	CPSF3L	-1	1246965	1260071
ENSG00000127054	ENST00000526332	1250207	1260040	1	60.46	1260040	579	CPSF3L	-1	1246965	1260071
ENSG00000127054	ENST00000430786	1250258	1260005	1	60.46	1260005	849	CPSF3L	-1	1246965	1260071
ENSG00000127054	ENST00000527719	1250296	1260051	1	60.46	1260051	750	CPSF3L	-1	1246965	1260071
ENSG00000127054	ENST00000530031	1250298	1260039	1	60.46	1260039	800	CPSF3L	-1	1246965	1260071
ENSG00000127054	ENST00000526113	1250384	1260017	1	60.46	1260017	591	CPSF3L	-1	1246965	1260071
ENSG00000127054	ENST00000526904	1250526	1260038	1	60.46	1260038	551	CPSF3L	-1	1246965	1260071
ENSG00000127054	ENST00000525603	1250940	1256285	1	60.46	1256285	738	CPSF3L	-1	1246965	1260071
ENSG00000127054	ENST00000429572	1254059	1260046	1	60.46	1260046	1104	CPSF3L	-1	1246965	1260071
ENSG00000127054	ENST00000498173	1254061	1260067	1	60.46	1260067	1589	CPSF3L	-1	1246965	1260071
ENSG00000127054	ENST00000496353	1254077	1259991	1	60.46	1259991	2428	CPSF3L	-1	1246965	1260071
ENSG00000127054	ENST00000493534	1254440	1260038	1	60.46	1260038	896	CPSF3L	-1	1246965	1260071
ENSG00000127054	ENST00000534345	1254686	1260051	1	60.46	1260051	485	CPSF3L	-1	1246965	1260071
ENSG00000127054	ENST00000532952	1254727	1260022	1	60.46	1260022	773	CPSF3L	-1	1246965	1260071
ENSG00000127054	ENST00000490853	1254761	1260029	1	60.46	1260029	704	CPSF3L	-1	1246965	1260071
ENSG00000127054	ENST00000531019	1254761	1260040	1	60.46	1260040	549	CPSF3L	-1	1246965	1260071
ENSG00000127054	ENST00000498476	1254783	1260040	1	60.46	1260040	554	CPSF3L	-1	1246965	1260071
ENSG00000127054	ENST00000470679	1254850	1259983	1	60.46	1259983	584	CPSF3L	-1	1246965	1260071
ENSG00000127054	ENST00000525285	1255858	1259993	1	60.46	1259993	579	CPSF3L	-1	1246965	1260071
ENSG00000127054	ENST00000530233	1258151	1260038	1	60.46	1260038	595	CPSF3L	-1	1246965	1260071
ENSG00000127054	ENST00000540437	1246986	1259989	1	60.46	1259989	2530	CPSF3L	-1	1246965	1260071
ENSG00000127054	ENST00000545578	1247203	1260017	1	60.46	1260017	1975	CPSF3L	-1	1246965	1260071
ENSG00000224051	ENST00000464957	1260136	1263374	1	65.26	1260136	1101	GLTPD1	1	1260136	1264277
ENSG00000224051	ENST00000343938	1260147	1264277	1	65.26	1260147	2190	GLTPD1	1	1260136	1264277
ENSG00000224051	ENST00000488011	1260621	1262851	1	65.26	1260621	783	GLTPD1	1	1260136	1264277
ENSG00000169962	ENST00000339381	1266694	1270686	1	66.74	1266694	3433	TAS1R3	1	1266694	1270686
ENSG00000107404	ENST00000378891	1270656	1284492	1	66.24	1284492	2926	DVL1	-1	1270656	1284730
ENSG00000107404	ENST00000378888	1270656	1284730	1	66.24	1284730	3239	DVL1	-1	1270656	1284730
ENSG00000107404	ENST00000472445	1277150	1284335	1	66.24	1284335	639	DVL1	-1	1270656	1284730
ENSG00000162576	ENST00000474033	1288069	1289644	1	65.30	1289644	1171	MXRA8	-1	1288069	1297157
ENSG00000162576	ENST00000309212	1288071	1293915	1	65.30	1293915	2273	MXRA8	-1	1288069	1297157
ENSG00000162576	ENST00000445648	1288072	1293923	1	65.30	1293923	2001	MXRA8	-1	1288069	1297157
ENSG00000162576	ENST00000477278	1288072	1297157	1	65.30	1297157	2728	MXRA8	-1	1288069	1297157
ENSG00000162576	ENST00000473097	1288572	1289854	1	65.30	1289854	975	MXRA8	-1	1288069	1297157
ENSG00000162576	ENST00000478517	1288595	1289627	1	65.30	1289627	846	MXRA8	-1	1288069	1297157
ENSG00000162576	ENST00000476718	1288819	1290396	1	65.30	1290396	1001	MXRA8	-1	1288069	1297157
ENSG00000162576	ENST00000464351	1290384	1290892	1	65.30	1290892	405	MXRA8	-1	1288069	1297157
ENSG00000162576	ENST00000460473	1290463	1290892	1	65.30	1290892	339	MXRA8	-1	1288069	1297157
ENSG00000162576	ENST00000342753	1288072	1293920	1	65.30	1293920	1974	MXRA8	-1	1288069	1297157
ENSG00000175756	ENST00000338370	1309110	1310537	1	66.87	1310537	1072	AURKAIP1	-1	1309110	1310875
ENSG00000175756	ENST00000338338	1309110	1310875	1	66.87	1310875	1047	AURKAIP1	-1	1309110	1310875
ENSG00000175756	ENST00000321751	1309112	1310549	1	66.87	1310549	798	AURKAIP1	-1	1309110	1310875
ENSG00000175756	ENST00000378853	1309117	1310553	1	66.87	1310553	875	AURKAIP1	-1	1309110	1310875
ENSG00000175756	ENST00000489799	1309624	1310524	1	66.87	1310524	695	AURKAIP1	-1	1309110	1310875
ENSG00000175756	ENST00000496905	1309818	1310539	1	66.87	1310539	608	AURKAIP1	-1	1309110	1310875
ENSG00000221978	ENST00000480479	1321091	1326476	1	51.37	1326476	2792	CCNL2	-1	1321091	1334708
ENSG00000221978	ENST00000482621	1321862	1333684	1	51.37	1333684	2059	CCNL2	-1	1321091	1334708
ENSG00000221978	ENST00000463260	1321875	1324093	1	51.37	1324093	1941	CCNL2	-1	1321091	1334708
ENSG00000221978	ENST00000400809	1321875	1334692	1	51.37	1334692	2305	CCNL2	-1	1321091	1334708
ENSG00000221978	ENST00000496007	1321879	1334689	1	51.37	1334689	4452	CCNL2	-1	1321091	1334708
ENSG00000221978	ENST00000482365	1321882	1327134	1	51.37	1327134	2620	CCNL2	-1	1321091	1334708
ENSG00000221978	ENST00000481223	1322088	1334691	1	51.37	1334691	2815	CCNL2	-1	1321091	1334708
ENSG00000221978	ENST00000418865	1322093	1327905	1	51.37	1327905	3082	CCNL2	-1	1321091	1334708
ENSG00000221978	ENST00000505849	1322502	1327029	1	51.37	1327029	1503	CCNL2	-1	1321091	1334708
ENSG00000221978	ENST00000488340	1322612	1334708	1	51.37	1334708	1598	CCNL2	-1	1321091	1334708
ENSG00000221978	ENST00000492998	1322923	1326280	1	51.37	1326280	745	CCNL2	-1	1321091	1334708
ENSG00000221978	ENST00000469113	1323403	1328096	1	51.37	1328096	707	CCNL2	-1	1321091	1334708
ENSG00000221978	ENST00000480646	1324726	1326384	1	51.37	1326384	614	CCNL2	-1	1321091	1334708
ENSG00000221978	ENST00000471930	1326533	1333746	1	51.37	1333746	846	CCNL2	-1	1321091	1334708
ENSG00000221978	ENST00000408918	1327668	1334697	1	51.37	1334697	1186	CCNL2	-1	1321091	1334708
ENSG00000221978	ENST00000473872	1328460	1333667	1	51.37	1333667	557	CCNL2	-1	1321091	1334708
ENSG00000221978	ENST00000425598	1328824	1334705	1	51.37	1334705	661	CCNL2	-1	1321091	1334708
ENSG00000221978	ENST00000463895	1330565	1333667	1	51.37	1333667	385	CCNL2	-1	1321091	1334708
ENSG00000221978	ENST00000497013	1330817	1334336	1	51.37	1334336	548	CCNL2	-1	1321091	1334708
ENSG00000221978	ENST00000408952	1321862	1333684	1	51.37	1333684	2059	CCNL2	-1	1321091	1334708
ENSG00000224870	ENST00000448629	1334902	1336467	1	59.37	1334902	797	RP4-758J18.2	1	1334902	1337426
ENSG00000224870	ENST00000444362	1334907	1337426	1	59.37	1334907	1747	RP4-758J18.2	1	1334902	1337426
ENSG00000224870	ENST00000418833	1334910	1337406	1	59.37	1334910	2196	RP4-758J18.2	1	1334902	1337426
ENSG00000224870	ENST00000576232	1334932	1335988	1	59.37	1334932	585	RP4-758J18.2	1	1334902	1337426
ENSG00000224870	ENST00000570344	1334942	1335924	1	59.37	1334942	515	RP4-758J18.2	1	1334902	1337426
ENSG00000224870	ENST00000447725	1334952	1337386	1	59.37	1334952	1843	RP4-758J18.2	1	1334902	1337426
ENSG00000224870	ENST00000572242	1335186	1337413	1	59.37	1335186	2228	RP4-758J18.2	1	1334902	1337426
ENSG00000224870	ENST00000453521	1335799	1337426	1	59.37	1335799	858	RP4-758J18.2	1	1334902	1337426
ENSG00000242485	ENST00000344843	1337288	1342693	1	53.09	1342693	721	MRPL20	-1	1337288	1342693
ENSG00000242485	ENST00000493287	1337293	1341687	1	53.09	1341687	504	MRPL20	-1	1337288	1342693
ENSG00000242485	ENST00000487659	1337293	1342648	1	53.09	1342648	1693	MRPL20	-1	1337288	1342693
ENSG00000242485	ENST00000492508	1337562	1342378	1	53.09	1342378	588	MRPL20	-1	1337288	1342693
ENSG00000242485	ENST00000482352	1340489	1342670	1	53.09	1342670	1049	MRPL20	-1	1337288	1342693
ENSG00000242485	ENST00000477686	1341629	1342615	1	53.09	1342615	314	MRPL20	-1	1337288	1342693
ENSG00000235098	ENST00000520296	1353800	1356824	1	66.51	1356824	1632	ANKRD65	-1	1353800	1357149
ENSG00000235098	ENST00000427211	1353800	1357149	1	66.51	1357149	1976	ANKRD65	-1	1353800	1357149
ENSG00000235098	ENST00000454272	1354260	1355533	1	66.51	1355533	772	ANKRD65	-1	1353800	1357149
ENSG00000235098	ENST00000442470	1354518	1356640	1	66.51	1356640	876	ANKRD65	-1	1353800	1357149
